"subject","WMmaintenance","WMupdate","Attention","Gf","VerbalReasoning","CRT_1","CRT_2","CRT_3"
101,-0.169349203337554,0.399586366293013,0.319991759916766,-0.398785217112452,-0.91076003076111,0,0,0
102,0.30906781808066,-0.252069714018865,0.451382793138021,0.275456874510268,-0.166626136261401,0,0,0
106,0.545351315651352,0.898840416609533,0.451382793138021,1.0306235059244,0.881006807929291,0,1,0
107,0.795700024541354,1.53911075207358,0.97694693232981,0.799183892581338,1.2030823032225,1,1,1
109,-0.100925142225063,0.178426685668269,-1.12530963074412,0.614649617032946,0.196152588187342,0,0,0
110,-0.787484018231402,-0.0627344051214373,-0.0741813460537678,-1.0989002638106,-0.0445164487947898,0,0,0
111,0.963872669301794,0.807716265803819,0.451382793138021,0.871543318010603,1.02169294099813,0,0,1
113,0.808699499205482,0.376033727552024,0.946105535630888,0.749251239786731,0.277559046498416,0,1,1
114,-0.242782824269019,-0.459953679385964,0.582773826359276,0.456943930872757,0.658914216549383,0,0,1
115,0.745813658610575,0.803617804731257,0.582773826359276,0.291091981767107,-0.488701631554607,0,0,0
116,-0.640623789083439,-0.157045118539559,-0.862527557994836,-0.164995579541198,0.0961696842740448,0,0,0
117,1.20153931945889,0.398468908001281,-0.0741813460537678,-1.08326515655376,-1.27353875520985,0,0,0
119,-0.515608843875544,-0.50178961255596,-0.205572385581792,-0.533386839866237,-0.629387764623441,0,0,0
121,0.236706946519344,-0.0532192405204767,0.451382793138021,-0.217298160749962,-0.992166489072184,0,0,0
123,1.00447530844893,0.353484116220492,1.23972900507909,-0.130279166562592,-0.144499352708087,0,0,0
124,-0.288923683933735,-0.745714264091429,-0.468354452024302,-0.500044928641239,-0.647964210225665,0,0,0
126,-1.37238389984777,-0.975003774809728,-1.91365584268518,-0.749469673469332,-0.788650343294499,0,0,1
128,-0.675370791781766,-0.30888221835436,0.319991759916766,0.90418803427789,0.336838721256177,0,0,0
132,0.275390759666495,-0.589192913514182,0.0572096871674871,0.116376686596471,1.24378553237803,0,1,0
133,0.443426051411385,0.141998312265698,-0.336963418803047,0.363850370451245,0.458948408722788,0,0,1
134,-0.593629840073925,0.132293200955363,-1.25670066396537,-0.351202588546036,-0.407295173243533,0,0,0
135,0.454228881253993,0.784823393775864,0.7141648658873,0.434537062424064,0.418245179567251,1,1,1
136,0.845148472964426,0.968583089363315,0.97694693232981,1.05510207108441,1.02169294099813,0,1,0
137,0.705964950359378,1.49820659292463,1.10833797185783,1.31199577206207,2.02862265603328,1,1,1
139,-2.3925189551162,-0.357678893900856,0.7141648658873,-0.636718248106343,-0.0852196779503268,0,0,0
140,0.365878362201413,0.575041628136191,0.319991759916766,-0.0385601078946882,0.277559046498416,0,0,0
141,0.666527206316292,0.658059011310008,0.845555899108555,1.00682224756029,0.940286482687052,1,1,1
142,0.624320352014414,0.611421228860774,1.23972900507909,1.38475416074621,1.16237907406696,1,0,1
143,0.347971291253162,0.231354986513975,0.845555899108555,0.670398396706637,-0.125922907105864,0,0,0
144,-0.415860260227596,0.395714267604559,0.582773826359276,0.357635280317289,1.12167584491142,0,0,1
145,0.19333519711342,0.175200042832834,-0.0741813460537678,0.286372029124759,0.196152588187342,0,0,0
146,-0.205798177096498,-0.217564106111099,-0.99391859752286,-0.595907380731781,-0.870056801605573,0,0,0
147,0.879362607335162,0.618395902754425,0.7141648658873,0.944301706694742,0.881006807929291,0,0,1
148,0.515511909237148,0.614878864813363,0.319991759916766,-0.291431051187708,0.821727133171531,0,0,0
149,0.595331229859022,0.15588090394619,0.188600720388742,0.206841879248767,0.318262275653953,0,0,0
150,-1.18948425860598,-0.0995194096950799,-0.205572385581792,-0.674760223811875,-0.366591944087996,0,0,0
152,-1.71149689708445,-0.956330952063415,-1.38809170349339,-0.299597202294983,-0.166626136261401,0,0,0
154,-0.621014747074571,-0.388107495704795,0.0572096871674871,-0.918090514244012,-0.144499352708087,0,0,0
157,0.345516791839604,0.0938652682053938,0.97694693232981,1.02245735481712,0.618210987393846,0,0,1
158,-1.8688071506631,-0.53492268696805,-0.99391859752286,-1.20223167205071,-0.770073897692276,0,0,0
159,-0.489607089461301,-0.230957208780173,0.7141648658873,-0.0215504988842407,-0.0852196779503268,0,0,0
160,-0.377274202986315,0.453721645040785,0.845555899108555,0.22924874769746,0.196152588187342,0,0,0
161,-0.519131885030271,-1.13535814619472,-0.599745491552326,-1.36394022773372,-2.11765555362286,0,0,0
163,-2.67601325663577,-1.05662548104566,-1.25670066396537,-1.31096033972906,-1.37352165912315,0,0,0
164,-0.087392799233343,0.306320989518202,1.23972900507909,0.591545553626542,0.558931312636085,0,0,0
165,0.455080568055798,0.382719494147945,-0.731136524773581,0.662232245599362,0.518228083480548,0,0,0
168,-0.580412107927439,0.125695584176981,-2.43921998187697,0.543265730102416,0.658914216549383,0,0,0
169,1.13194755815636,0.790988580871677,1.10833797185783,0.770283606481816,0.740320674860457,0,0,1
171,-0.545347689297892,0.265769100144918,0.0572096871674871,-0.155454926680315,-0.770073897692276,0,0,0
177,0.885436501266323,0.385492670558772,-0.205572385581792,0.518089969984694,0.214729033789566,0,0,0
178,0.203028485562186,0.386172587848384,-0.336963418803047,0.509246512081521,1.02169294099813,1,1,0
181,-0.401573986339942,0.150224363027715,-0.336963418803047,0.982343682400274,0.255432262945103,0,0,1
182,0.763189263774228,0.475245211793736,1.23972900507909,0.724075479669009,1.1030993993092,1,0,0
183,0.0785478112248761,0.209279154335876,0.7141648658873,1.10131019789722,0.840303578773754,0,0,0
184,0.984015982181247,1.72423861885382,1.23972900507909,1.11487360844274,0.980989711842589,1,1,1
185,0.214109134226334,-0.601846502937932,-1.51948273671465,0.0626996036340991,-0.348015498485772,0,0,0
186,1.04583328103499,0.251776618436611,0.7141648658873,0.879709469117878,0.740320674860457,0,1,1
187,-0.628474598678122,0.0249671800485374,0.451382793138021,0.095344319901386,-0.125922907105864,0,0,0
188,0.355429740313719,0.858849491423905,1.23972900507909,0.252352811103864,0.558931312636085,0,0,0
189,-0.505912750340792,-0.214901589175703,0.0572096871674871,-0.297525505583664,-0.44799840239907,0,0,0
190,1.04583328103499,0.586952132568272,0.319991759916766,1.09176954503634,0.980989711842589,0,1,1
191,0.273690191148872,0.804948682591025,-0.862527557994836,0.587402160203905,0.75889712046268,0,0,0
10000,1.28488448632148,0.558779551259996,0.7141648658873,1.12441426130362,0.477524854325011,1,1,1
10001,1.45358999940951,0.718769070912678,0.97694693232981,0.668326699995318,0.69961744570492,1,0,1
10003,0.625391698841569,0.168198665833845,0.97694693232981,0.0552306474845348,0.599634541791622,0,0,1
10004,0.151128342811543,0.415138807581528,0.7141648658873,0.495683101536001,0.69961744570492,0,0,0
10005,1.31941182899445,1.11623842076438,1.10833797185783,0.896719078128326,0.740320674860457,0,0,0
10007,0.0263302525430122,1.05428522098269,0.845555899108555,0.172125466270162,0.558931312636085,0,0,0
10009,1.00416069760369,-0.0432803440653067,0.319991759916766,0.541891228348808,0.69961744570492,1,1,1
