"subject","WMmaintenance","WMupdate","Attention","Gf","VerbalReasoning","CRT_1","CRT_2","CRT_3"
103,-0.0749247903538125,0.391156759115118,-0.205572385581792,-0.315696916745675,-0.293866156917714,0,0,0
104,0.583183441996698,-0.10453026772854,0.7141648658873,-0.0283863731065507,0.376026591442232,0,0,0
105,-0.389959066805209,-0.718229139290343,-1.78226480946393,-0.143053318286357,-0.112476794693343,1,0,0
108,0.232869294519383,-0.353744139034602,-0.468354452024302,1.12451565176558,1.25514105229532,1,0,0
112,-0.730897341764979,0.85997370841884,0.97694693232981,0.132921688413066,-0.293866156917714,0,0,0
120,0.804326173791944,0.601640160282265,0.845555899108555,0.7542042575678,1.01808698953341,0,0,1
122,-1.52818629163455,0.0980669583351383,-0.862527557994836,-1.42667183041237,-0.726704842515748,0,0,0
127,0.383666334116171,0.940566131884112,-0.731136524773581,0.0446797553106637,0.376026591442232,1,0,1
138,-1.39646402317605,0.237980259034454,-0.0741813460537678,0.786282976179276,0.738805315890975,0,0,1
151,0.334752156563683,0.384294225976183,1.10833797185783,0.998080180119072,0.348194241173462,0,0,1
153,0.605245580876131,0.295108088550587,-0.336963418803047,-0.254399314795164,0.376026591442232,0,0,0
155,0.148672440854991,0.333865768932806,0.0572096871674871,-0.190221512035537,-0.503087869410856,0,0,0
162,-1.3890041715725,0.428598151626902,0.7141648658873,-0.25247918092242,-0.112476794693343,0,0,0
167,-0.698064957437653,0.287083753110432,-0.0741813460537678,0.612679310783586,1.25514105229532,0,1,0
170,0.0396443380523747,0.633117636159408,-0.205572385581792,-0.411973803653453,-0.628812531097687,0,0,0
173,0.0514775150694642,-0.448575968839886,-1.12530963074412,0.18522426962183,-0.112476794693343,0,0,1
174,0.0702362728195203,0.548682253822222,1.23972900507909,-0.757261000572087,-0.628812531097687,0,0,0
175,-0.974635080767248,-0.0214962928655246,-2.17643791543446,-0.00860325837114754,-0.96375890527766,1,0,0
176,0.259935383045816,-0.286654070600757,-0.862527557994836,-0.891731426023973,-1.08948356696449,0,0,0
179,0.273375580303638,0.445094315499135,0.319991759916766,-0.58461740211277,-0.447423168873316,0,0,0
180,-0.695828715506452,-0.0746292382044375,0.7141648658873,-0.0156374141668,-0.0424168335440513,0,0,0
10002,0.950871792094673,1.40838502243109,0.97694693232981,1.38446148192761,1.86936910011773,1,1,1
10006,0.301075098149518,0.647130152349439,0.0572096871674871,1.19576834139421,0.627475914815895,0,0,0
10015,0.305447021020063,0.0921305147249798,0.97694693232981,0.904703859557086,1.04591933980218,1,0,1
10018,1.24683129740779,0.53330856895213,-0.0741813460537678,0.965981095970921,0.22246957948663,1,0,0
10019,1.58830244069515,1.77289280509681,1.23972900507909,1.30615427096665,1.56225507620652,1,1,1
10023,0.952497878720149,0.366468180396647,1.10833797185783,0.525397444617556,1.22730870202655,1,1,1
10029,-0.100073455423258,-0.417913060800584,-1.78226480946393,-0.00152837150214374,-0.349530857455254,0,0,0
10040,1.00853402301723,1.51678653391615,1.10833797185783,1.19576834139421,1.53442272593775,0,0,1
10044,0.865291785843878,1.01885760015412,1.10833797185783,0.967921595380341,1.40869806425092,1,0,1
10047,0.495367193814702,-0.0799247241324398,0.845555899108555,0.707996130754993,0.473918902860293,0,0,0
10048,-0.0434811687848621,-0.324557559883764,0.582773826359276,-0.111914301074578,0.529583603397833,1,1,1
10051,0.000110240646411852,0.37466323022918,-0.468354452024302,1.08634247875815,0.990254639264638,0,0,0
10057,-1.29819915310636,-1.11139127080508,-0.0741813460537678,-1.36441416152549,-1.29870527945763,0,0,0
10063,-1.79377071711988,-1.08065882537555,-2.43921998187697,-0.968098137575512,-1.29870527945763,0,0,0
10069,0.506133231633616,1.39035200253079,0.97694693232981,0.440035712324269,0.892362327846576,0,0,0
10072,-0.498451496194248,-0.223416805256858,1.10833797185783,-1.26012268634901,-0.545315480291377,0,1,0
10073,-1.61259859769531,-0.346843969693906,0.188600720388742,-0.892691492960345,-0.93592655500889,0,0,0
10077,0.391029832356844,-0.997203696345501,-1.25670066396537,-1.07337004522504,-1.21520822865132,0,0,0
10086,-1.50847488609099,-1.62784838039127,-2.570611021405,-1.03933046166747,-0.266033806648944,0,0,0
10095,0.760953021843027,-0.418636718242881,-0.205572385581792,-0.356770656098898,0.0410802172622589,0,0,0
10098,-0.773417404369098,-0.705502837904869,-1.51948273671465,-1.53609769304844,-1.27087292918886,0,0,0
10103,-2.43664603796105,-1.67178802269764,-1.91365584268518,-1.66253316469494,-1.45226229141323,0,0,0
10105,-0.576254234910272,-1.3142057838904,-2.17643791543446,-0.915795556366749,-1.480094641682,0,0,0
10113,-1.32825541445993,-1.39410317051732,-0.99391859752286,-0.73223680329294,-1.29870527945763,0,0,0
10116,-2.06373267564773,-1.88204927787017,-0.99391859752286,-1.59931542887169,-1.63365165363761,0,0,0
10118,-0.209954647570672,-1.13568253570038,0.7141648658873,-0.780365063978491,-0.810201893322058,0,0,0
10125,-1.49888115609093,-0.936546721287909,-0.599745491552326,-0.441172321455813,-0.628812531097687,0,0,0
10126,-2.63487634661805,-1.32305024834884,-1.91365584268518,-0.970038636984932,-1.57798695310007,0,0,0
10127,0.71043743422178,0.587438986873805,-1.6508737699359,-0.299647374671599,0.22246957948663,0,0,0
10135,0.936268102275798,0.766589153845701,0.97694693232981,0.368783022695638,0.613080654204144,0,0,0
10138,-0.697217478264827,-0.59655047978444,-0.468354452024302,-1.37854356972682,-1.39659759087569,0,0,0
10144,-0.0760896854578583,-0.752738594490691,-1.38809170349339,-1.65547864336262,-1.60581930336884,0,0,0
10148,-1.19045644698427,-0.152677517179354,-0.0741813460537678,-0.0868901037954306,-0.321698507186484,0,0,0
10156,-0.93903779381011,-1.12934501323436,-1.78226480946393,-1.38751822493189,-0.93592655500889,0,0,0
10164,-0.245234518596591,0.319229416853592,0.7141648658873,-0.431217233777693,-0.293866156917714,0,0,0
10165,0.664293769471077,0.789153950734601,0.97694693232981,0.441955846197013,0.22246957948663,1,0,0
10181,-1.82021038904183,-1.64793784586515,-1.91365584268518,-1.75079546333402,-2.09432268950441,0,0,0
10183,-0.752640662170198,0.0142882298653818,-0.99391859752286,-0.0477364983149512,-0.349530857455254,0,0,0
10186,-1.87765015485305,-1.29503329348401,-1.38809170349339,-0.648795204872397,-0.656644881366457,0,0,0
10189,-0.303307713727259,-0.279220616149213,0.451382793138021,-1.4488158268824,-1.78720866559321,0,0,0
10190,-0.576573053384485,-1.07071602096291,0.188600720388742,-0.774270609582535,-0.447423168873316,0,0,0
10191,0.512520333867019,0.876635124601451,0.97694693232981,1.39247607019631,1.38086571398215,1,1,1
10202,1.05659651376791,0.813225648824238,0.451382793138021,0.219243487642725,-0.112476794693343,1,0,0
